,coordinates,elevation
12,"(44.5482569, -72.7828571)",935
13,"(44.5481536, -72.7826617)",935
14,"(44.5479964, -72.7825356)",935
15,"(44.5478931, -72.7825167)",910
16,"(44.5477395, -72.7823472)",910
17,"(44.5477142, -72.7821149)",910
18,"(44.547636, -72.7816631)",910
19,"(44.5476521, -72.7812145)",873
20,"(44.5476057, -72.7810271)",873
0,"(44.5271824, -72.7942262)",622
1,"(44.5269666, -72.7938769)",681
2,"(44.5268544, -72.793611)",632
3,"(44.5266832, -72.7931824)",632
4,"(44.5265389, -72.7927492)",632
5,"(44.5263828, -72.7923237)",632
6,"(44.5262577, -72.7920808)",632
7,"(44.5261876, -72.7919122)",632
8,"(44.5260206, -72.7915099)",588
9,"(44.5259175, -72.791134)",588
10,"(44.5258032, -72.7905541)",588
11,"(44.5257344, -72.790167)",588
12,"(44.5256477, -72.7899495)",588
13,"(44.5255635, -72.7897886)",588
14,"(44.5255176, -72.7895955)",588
15,"(44.5254488, -72.7892092)",559
16,"(44.52538, -72.7888015)",559
17,"(44.5253494, -72.7884904)",559
18,"(44.5252805, -72.7881363)",559
19,"(44.5252117, -72.7877823)",559
20,"(44.5250816, -72.787439)",530
21,"(44.5248981, -72.7870956)",577
22,"(44.5247527, -72.7868596)",577
23,"(44.5245998, -72.786527)",577
24,"(44.5244544, -72.7861193)",577
25,"(44.524332, -72.7857545)",577
26,"(44.5242096, -72.7854541)",577
27,"(44.524049, -72.7850572)",548
28,"(44.5239266, -72.784746)",548
29,"(44.5237583, -72.7844134)",548
30,"(44.5236666, -72.7841345)",548
31,"(44.5235212, -72.7836946)",548
32,"(44.5234753, -72.7834908)",548
33,"(44.5235212, -72.7833298)",531
34,"(44.5235844, -72.7832364)",531
0,"(44.5229321, -72.8010151)",951
1,"(44.5230759, -72.8003192)",951
2,"(44.5231334, -72.7995729)",889
3,"(44.5230939, -72.7990183)",889
4,"(44.5229824, -72.7985695)",889
5,"(44.5226948, -72.7981308)",914
6,"(44.5225546, -72.797682)",858
0,"(44.5461906, -72.7782028)",810
1,"(44.5463006, -72.7778742)",810
2,"(44.5464129, -72.7775212)",810
3,"(44.5463095, -72.7770989)",810
4,"(44.546067, -72.7764497)",792
5,"(44.5458244, -72.7762606)",745
6,"(44.5455414, -72.7760084)",745
7,"(44.5452898, -72.77575)",745
8,"(44.5451281, -72.7756365)",745
9,"(44.5447193, -72.7756239)",745
10,"(44.5443599, -72.7756492)",745
11,"(44.5440634, -72.7758067)",745
12,"(44.543749, -72.7759202)",691
13,"(44.5435199, -72.7760463)",691
14,"(44.5433996, -72.7761796)",691
15,"(44.543207, -72.7765225)",691
16,"(44.5431588, -72.7763333)",691
17,"(44.5432037, -72.7760055)",691
18,"(44.5432267, -72.7755174)",691
19,"(44.5431376, -72.7749647)",671
20,"(44.5430427, -72.7747025)",671
21,"(44.5428415, -72.774529)",671
22,"(44.542646, -72.7745411)",671
23,"(44.5422291, -72.7745089)",671
24,"(44.5419301, -72.7743475)",671
25,"(44.5416282, -72.7742749)",623
26,"(44.541401, -72.7744484)",623
27,"(44.5412544, -72.7746581)",623
28,"(44.5411549, -72.7747203)",623
29,"(44.5409381, -72.7748558)",623
0,"(44.524996, -72.8037436)",1008
1,"(44.5254143, -72.8021448)",902
2,"(44.5256483, -72.8008585)",863
3,"(44.5256989, -72.8006693)",863
4,"(44.5259175, -72.7997742)",789
5,"(44.5261154, -72.7988254)",789
6,"(44.5264145, -72.7974861)",747
7,"(44.5265719, -72.7969841)",747
8,"(44.5267918, -72.7959757)",747
9,"(44.5270587, -72.7950979)",681
10,"(44.5272284, -72.7946255)",622
0,"(44.5197931, -72.7928116)",765
1,"(44.5201303, -72.7923645)",765
2,"(44.5205123, -72.791876)",765
3,"(44.5214336, -72.7910487)",691
4,"(44.5217389, -72.7905798)",691
5,"(44.5218428, -72.7901363)",691
6,"(44.5218421, -72.7900058)",691
7,"(44.5218386, -72.7893266)",656
8,"(44.5218315, -72.7886105)",656
9,"(44.5219105, -72.788071)",656
10,"(44.521986, -72.7876978)",656
11,"(44.5221766, -72.787355)",612
12,"(44.5225272, -72.786902)",612
0,"(44.5277104, -72.801104)",787
1,"(44.527634, -72.8008258)",787
2,"(44.5275383, -72.8003508)",787
3,"(44.5274279, -72.799917)",730
4,"(44.5273837, -72.7996563)",730
5,"(44.5273715, -72.7993011)",730
6,"(44.5272788, -72.798923)",730
7,"(44.5272309, -72.7985074)",730
